Cycle#,Sensor_11,Sensor_9,Sensor_12,Sensor_4,RUL
1,-0.2664665957146243,-0.8628133152009628,0.3342618401933996,-0.9259359643726434,191
2,-0.19158292532444912,-0.9588176147514346,1.1748993222074802,-0.6437258660491735,190
3,-1.0153032996162428,-0.5571392482361328,1.3647206891138657,-0.5259531478512048,189
4,-1.5394889923473891,-0.7138255107099997,1.9613021279626377,-0.7848309152109211,188
5,-0.9778614644211685,-0.45705929445953913,1.052871300624903,-0.30151834524751936,187
6,-1.4271634867621663,-0.7047685013184162,0.3613791783228612,-1.1737030979400827,186
7,-0.6783267828605211,-0.2768248075677036,1.2291339984665577,-1.240366900693643,185
8,-1.1276288052014922,-1.1068997183033054,1.4325140344376739,-0.8848266193412617,184
9,-0.9404196292260942,-0.8505863525224322,0.5105245380350543,-1.5703527243238204,183
10,-1.9139073442982117,-0.6132927064637361,0.5105245380350543,-0.9414908516817957,182
11,-1.4646053219572406,-0.7079384546054457,-0.018263555489909617,-0.9214917108557175,181
12,-1.3522798163719911,-0.7188068658752964,0.5240832070997851,-0.9759338164378011,180
13,-0.603443112470346,-0.8342837356176149,0.5918765524235932,-0.9003815066504394,179
14,-0.37879210129987373,-0.8093769597908016,0.3478205092581304,-1.0859290909811936,178
15,-0.90297779403102,-0.5897444820457675,1.4731900416318662,-0.7559432673510162,177
16,-1.1276288052014922,-0.7201654172840586,0.10376446609282178,-0.4926212464744247,176
17,-1.57693082754249,-0.4674748552598025,0.6461112286825164,-0.9981550840223297,175
18,-1.2399543107867417,-0.7106555574229702,0.4698485308408618,-1.4236923582659724,174
19,-0.5285594420801975,-0.5095899489305256,0.6461112286825164,-0.9537125488532978,173
20,-1.2025124755916674,-0.8759459788187506,0.8901672718479792,-0.4115136197909118,172
21,-1.4646053219572406,-0.7740546231638072,1.3647206891138657,-1.2003686190414866,171
22,-1.1276288052014922,-0.1826319098955815,0.7952565883947094,-0.9292691545103189,170
23,-1.090186970006418,-0.8587376609747585,0.14444047328701418,-1.5759080412199462,169
24,-0.37879210129987373,-0.9728559793083148,0.971519286236364,-1.1248163092541248,168
25,-0.6783267828605211,-0.5018914909477044,1.554542056020251,-1.0603746332589894,167
26,-1.0527451348113437,-0.8211510719998272,1.1748993222074802,-1.4292476751620982,166
27,-0.6408849476654468,-0.7826587820858033,0.7952565883947094,-0.7881641053485966,165
28,-0.4911176068851231,-0.6975228938051823,1.568100725085136,-1.089262281118869,164
29,-1.1276288052014922,-0.6689933142218345,1.3511620200491348,-0.8826044925828115,163
30,-0.5285594420801975,-0.8886257919668686,1.052871300624903,-1.4281366117828729,162
31,-0.4911176068851231,-0.29267457400285113,0.7274632430710554,-1.3370294146863084,161
32,-1.090186970006418,-0.6463507907429582,0.6867872358767089,-0.9526014854740726,160
33,-0.9778614644211685,-0.8202453710607347,0.6732285668119781,-0.722611365974236,159
34,-0.2664665957146243,-0.8505863525224322,0.38849651645247696,-0.9392687249233453,158
35,-0.865535958835919,-0.8822858853928096,0.456289861776131,-0.659280753358351,157
36,-1.090186970006418,-0.9366279417421457,1.2291339984665577,-0.3770706550349064,156
37,-0.9404196292260942,-0.4439266308417514,1.188457991272211,-1.114816738841073,155
38,-1.0153032996162428,-0.4516250888245726,1.3647206891138657,-1.0481529360875126,154
39,-1.57693082754249,-0.610575603646294,1.1071059768838263,-0.9159363939595917,153
40,-0.7906522884457705,-0.5553278463578656,0.5783178833588624,-0.7959415490031727,152
41,-1.6892563331277128,-0.7360151837192885,0.8901672718479792,-0.6359484223945974,151
42,-0.19158292532444912,-0.3705648547702383,1.1071059768838263,-0.8392730207929795,150
43,-0.8280941236408448,-0.33343111626489436,1.7985980991857138,-0.3204064226943724,149
44,-0.3413502661047728,-0.8320194832696779,1.2020166603369418,-0.8592721616190577,148
45,-0.3413502661047728,-0.22293560168795495,0.42917252364666936,-1.0859290909811936,147
46,-1.277396145981816,-0.22021849887051287,0.822373926524171,-0.8514947179644815,146
47,-1.2025124755916674,-0.5978957904980937,0.5783178833588624,-0.6715024505298279,145
48,-0.5285594420801975,-0.9049284088716859,0.6732285668119781,-1.0859290909811936,144
49,-1.2025124755916674,-0.6612948562390132,-0.05893956268410203,-1.2414779640728684,143
50,-0.2664665957146243,-0.7536763520327857,1.2426926675312884,-0.5903948238463402,142
51,-1.57693082754249,-0.8220567729390019,0.6732285668119781,-0.9459351051986964,141
52,-1.764140003517888,-0.41811415407584557,0.9308432790421716,-1.4848008441234068,140
53,-0.9404196292260942,-0.6381994822905495,0.7410219121357862,-0.7414994434210891,139
54,-0.603443112470346,-0.4054343409276452,1.3918380272434814,-0.8592721616190577,138
55,-0.5285594420801975,-0.7382794360671432,0.9444019481069024,-0.8170517532084761,137
56,-1.0527451348113437,-1.03353794223171,1.4460727035024046,-0.9081589503050155,136
57,-0.9404196292260942,-0.6540492487257794,0.2800271639344764,-0.6826130843221048,135
58,-1.0527451348113437,-0.6753332207958934,1.0799886387543647,-1.2159235063506642,134
59,-1.0527451348113437,-0.6875601834745064,-0.12673290800775605,-0.602616521017817,133
60,-0.4911176068851231,-0.6137455569333236,1.4596313725671355,-0.6515033097037749,132
